"subj_idx","stim","response","rt","condition","amygdala_pe"
2032,0,1,3.1351,-1,-0.0002434192326
2032,-1,0,1.1491,-1,0.2691277252
2032,-1.5,0,2.1429,1,-0.4502124905
2032,0,0,1.8475,-1,-2.688612765
2032,0.5,1,1.2489,1,-1.311347871
2032,-1,0,0.984,-1,0.1975304844
2032,0,1,2.7553,-1,-0.5143058202
2032,-1,0,0.88,-1,0.04798089816
2032,0,1,2.4056,-1,0.5530796664
2032,-0.5,0,3.2875,1,-0.6555341324
2032,-1,0,1.5944,1,-0.4721752476
2032,0,1,3.1782,1,-0.260963374
2032,0,0,1.0162,1,-0.04700706539
2032,1.5,1,1.0731,1,-0.1184349338
2032,0.5,1,3.3704,1,-0.1547388532
2032,-1.5,0,1.0079,1,0.001482607989
2032,0.5,0,3.8729,-1,-0.3720441605
2032,-1,0,1.3848,1,-0.2146498063
2032,-0.5,0,1.1264,-1,-0.3201604894
2032,1.5,1,1.2834,1,-0.4716957321
2032,-0.5,0,3.5395,-1,0.08703263938
2032,0.5,1,1.4286,1,-0.03027784774
2032,-1,0,1.0146,1,-0.1223350077
2032,0,0,2.2515,-1,0.3628502669
2032,1,1,2.2194,1,1.274236684
2032,0,0,1.2316,1,1.116416639
2032,0,0,2.2341,-1,0.2309904492
2032,-5,0,1.2358,1,0.2063168668
2032,0.5,1,1.6981,-1,-0.8918069546
2032,-1,0,1.2178,-1,-0.304548509
2032,0,1,3.1184,1,-0.4533102349
2032,0.5,1,2.6305,1,-0.4903392992
2032,-0.5,0,3.4856,1,-0.4803290889
2032,-1,0,0.9052,1,-0.01193331211
2032,0,1,3.0591,-1,-0.8070464064
2032,-1.5,0,1.358,-1,-0.06884056163
2032,1,1,1.3691,1,0.1700757822
2032,-0.5,0,2.5117,-1,-0.3174696385
2032,5,1,1.1257,-1,-1.995718654
2032,0.5,1,2.6726,1,-0.6532588183
2032,1.5,1,2.5391,-1,0.3242136035
2032,0.5,1,3.5409,1,-0.02872843166
2032,1.5,1,1.2848,-1,0.3229498202
2032,-0.5,0,1.1509,1,-0.1884613485
2032,0,1,1.5141,1,-0.01718592182
2032,1,1,1.4444,-1,-0.09096273836
