"DLPFC_cope","DLPFC_cope_scaled"
5909.514542,0.6576615104
-5907.282908,-0.4216739985
2779.779584,0.4493524355
-1187.912123,-0.06035669612
-32366.39832,-1.540020572
-26123.53381,-1.838195067
-26694.44978,-1.583269342
-18103.78349,-1.061884195
-23970.08181,-1.582605035
-7867.626348,-0.3943005614
-6280.356952,-0.4352064428
3288.927692,0.1263923144
3008.318913,0.511711059
7316.537104,0.6307748113
13608.43275,1.21719954
2582.830959,0.1708581089
8203.201743,0.8514512826
-293.7878172,0.1467732945
-12202.71888,-1.062939257
-5367.567655,-0.2699849908
-11676.16038,-0.8052847068
-7173.923451,-0.395472104
-3184.97431,-0.1515824882
-3397.452139,-0.2559525115
6969.435121,0.7127953608
-3543.686664,-0.4627179296
-3005.311355,-0.265718238
2946.363339,0.03998577186
9434.553666,0.5059169443
1804.554083,-0.294753584
-5488.197397,-0.7103163126
-10212.35978,-0.4904615039
-2781.859833,0.029571991
3280.832067,0.4373180069
5480.831568,0.5628825256
-23327.71723,-2.027970877
-24444.70033,-1.766305777
-5763.8576,-0.2749943107
6189.881492,0.1992238677
12064.46851,1.137763106
10284.4201,0.6830350314
1225.035336,0.04245494256
-13121.10328,-1.271278852
-3989.37203,-0.3985359057
-10232.12404,-0.8618555386
-20089.76448,-1.855501021
-12217.2465,-1.082361594
-10136.63668,-0.9754676537
-2837.877201,0.01286111216
1700.810875,0.2927254706
-37.90493676,0.1806160788
-9004.685488,-1.028066108
-13856.76174,-1.749634665
-11029.52561,-1.388749527
3123.290494,0.4456109742
-4868.938467,-0.5736498337
-18164.5572,-2.256745269
-2738.18143,-0.2567673054
6366.737226,0.616527686
2974.220229,0.2708682759
10680.9172,1.15915121
8864.994393,1.044273411
-564.5029343,-0.1741954197
-9963.848254,-1.108680082
4729.132491,0.7983211495
421.3610346,0.01285084579
4912.874008,0.7096724019
5207.700775,0.7008174429
11682.19476,1.304528298
3653.749208,0.5319180201
-7595.316228,-0.9735639914
-4833.984751,-0.5126780587
-5601.244659,-0.6883301764
-9784.58411,-1.155787158
8718.823342,1.22583113
3501.203611,0.261998609
-1113.174229,0.2797481658
-9503.790594,-1.264055397
-1898.050536,-0.1309641257
-5644.330785,-0.7792363123
4150.84654,0.3482935215
-1955.943046,-0.1625829337
626.1352715,0.230750104
9236.376675,1.11620009
-24042.44346,-2.519815503
-29649.82049,-2.974180295
-15032.50356,-1.322164883
-7175.658771,-0.5651534812
-10829.85291,-1.282699423
-7653.356083,-1.158195029
4055.654834,0.4926723383
1430.495712,0.02866325582
4764.442011,0.5082599872
-2391.164259,-0.2055029976
-678.1837745,-0.5497468078
-225.6482849,-0.7458336595
-1026.352192,-0.8281074649
9511.068295,0.5201600767
671.3583954,-0.5964387291
710.844933,-0.4432225317
-768.6834017,-0.6287349912
-4616.883284,0.1933608062
-5294.806017,-0.5056645733
-7171.951837,-0.3660018004
4888.544949,0.9754870045
8217.133785,1.053995686
-17845.61138,-1.954556531
6150.670253,1.051715962
-2276.518264,-0.06306536244
859.4330354,0.1974912144
2017.488752,0.4740900976
-1637.893219,-0.5886210606
5508.08336,1.601392089
-1616.713678,-0.3299698168
1801.052801,0.1462287936
12480.20029,1.64265886
-958.6709725,-0.2644973992
-1000.712173,-0.1336753944
2613.26588,0.2219498078
7486.44032,0.707127467
-16151.11036,-1.861050633
-9151.435004,-0.9996050457
-6390.701935,-0.5116494267
727.4694876,0.2813843405
-30817.98086,-2.59119716
-24586.40093,-3.006211132
-11911.67975,-1.541320199
-18537.08042,-3.392142443
-9880.512353,-1.808339295
4553.821857,-0.484542393
-14466.11957,-3.309679725
1539.902882,1.114007632
-3744.423396,-0.1040239059
-6463.518774,-0.4546794594
5066.911565,1.151609188
10769.43266,2.232202674
1879.872452,0.7609534944
-1749.341169,0.1466994394
2847.824028,0.9299345233
2600.186254,1.112682293
9941.854755,2.076530656
-7069.3735,-0.4360178764
3945.716519,1.020347253
4256.199871,0.5611197838
-2208.364467,-0.09395690149
-4613.060568,-0.8701857392
3706.892795,-0.1455425415
-3317.199666,-1.005730468
-832.9352092,-0.7628194509
12314.86423,0.4134095976
11024.67951,0.1394135006
-3283.8808,-1.600023466
12975.70455,-0.0823033618
16039.75779,0.1914203682
5211.903237,-1.380808333
12983.27546,-0.5084039594
-6471.774522,1.625199641
-2521.442673,1.49701751
2607.770721,1.52378214
2802.251216,0.6342639535
-5023.436466,-0.588216461
5329.853111,0.394541977
11900.23519,0.834495802
3472.958778,-0.02549025417
-24332.54198,-1.449866049
-9457.816198,0.1231161179
-24495.88992,-2.230582769
-12343.23897,-1.269039874
-5953.247486,-0.4531644048
-10447.28885,-1.290500103
-6881.653799,-0.9649202183
-1561.476354,-0.3416192656
6865.871843,0.7158326225
16899.15421,1.73211966
16810.16648,1.492167637
-4012.184284,-1.256358099
6554.830175,-0.1648374414
-22618.99173,-2.252919883
-13346.1152,-1.127462
-1759.711283,0.2634012682
-310.5385377,-0.02632468377
-12612.65397,-1.106547734
-4535.65279,-0.1019254157
